Date,Open,High,Low,Close,EMA10,Smoothing Line10,EMA40,Smoothing Line40,Basis,Upper,Lower,Volume,Volume MA,RSI,RSI-based MA,ROC,Williams,Histogram,MACD,Signal,CCI,Smoothing Line,Disparity Index,SES,Sentiment Avg,H/L%
4/15/14,85.06,85.54,83.28,85.0501,87.70186657,88.01648618,86.01159351,86.68179889,87.375955,90.94766069,83.80424931,84631517,57439163.75,43.32462211,46.02391916,-4.918837339,-72.3421875,-0.33056896,-1.089772534,-0.759203574,-102.2098883,-117.0136549,-1.926357794,85.51842249,0.072468354,0.027137368
4/16/14,85.83,86.18,85.091,86.18,87.62762918,87.87139027,86.04221287,86.38365727,87.182955,90.57039062,83.79551938,46970899,57744240.15,46.38460258,46.13136213,-4.805037004,-54.6875,-0.205022037,-1.01548112,-0.810459083,-46.33512237,-120.5323214,-0.566190543,85.37792574,0.074579642,0.012798063
4/17/14,85.89,86.63,85.63,86.2,87.55798873,87.74410391,86.07090144,86.17972322,86.978455,90.0719859,83.8849241,53719454,58848485.95,46.43775993,46.19869908,-4.264771213,-54.375,-0.10691891,-0.944107721,-0.837188811,-39.21060485,-97.14282344,-0.473394653,85.61854802,0.075587749,0.01167815
4/21/14,86.41,86.84,86,86.84,87.52296489,87.64966079,86.21073754,86.11214082,86.870455,89.82168908,83.91922092,25947923,57005246.35,48.14618123,46.23119312,-3.821021154,-44.375,0.00865089,-0.826375197,-0.835026088,-1.664965073,-62.96442567,0.33423011,85.79298361,0.074974719,0.009767442
4/22/14,87.1,87.745,86.9898,87.53,87.52330807,87.58675149,86.45060344,86.15720976,86.835955,89.73901669,83.93289331,38593408,55048151.1,49.93406033,46.03961979,-1.651685393,-33.59375,0.13228127,-0.6696745,-0.80195577,39.03461947,-30.07719223,1.271860923,86.10708853,0.07358784,0.008681478
4/23/14,87.55,87.56,86.71,86.76,87.48607353,87.54359288,86.50685736,86.25626253,86.748455,89.54806402,83.94884598,34376729,54680820.8,48.01551933,45.66229749,-1.654953525,-45.61650258,0.161007671,-0.600696182,-0.761703853,0.695524141,-9.496109739,0.603793382,86.53396197,0.072222181,0.009802791
4/24/14,88.2,88.21,86.65,87.59,87.49114311,87.51629566,86.70379239,86.38857843,86.759455,89.57045173,83.94845827,48926264,55080611.9,50.15909068,45.60598101,-1.039430573,-29.69004894,0.230485504,-0.473596973,-0.704082477,49.59220015,9.689354765,1.662222858,86.60177338,0.070749555,0.018003462
4/25/14,87.08,87.17,85.98,86.19,87.42767271,87.49023246,86.61037559,86.49647326,86.725005,89.54616664,83.90384336,44341588,54058466.9,46.78025423,45.78910481,-1.350578002,-40.97363083,0.179024688,-0.480301616,-0.659326305,-31.31444826,11.26858608,0.052229211,86.89824137,0.06685148,0.013840428
4/28/14,86.58,87.11,85.11,86.47,87.38095697,87.46183088,86.58485276,86.57129631,86.696005,89.51513078,83.87687922,58623796,54994903.45,47.51455971,46.16838691,-0.470769691,-35.29411765,0.161265174,-0.457744837,-0.619010011,-13.30307246,8.940964607,0.300749799,86.68576896,0.061057375,0.023499001
4/29/14,86.75,87.32,86.31,87.16,87.37017858,87.43120498,86.68942498,86.61906062,86.670505,89.4630297,83.8779803,36742661,55135821.65,49.30456497,46.49578042,0.126364159,-21.29817444,0.191357652,-0.379812946,-0.571170598,29.54427862,7.042896437,1.032472985,86.62103827,0.055276724,0.011702004
